Size,Density,Number,IterativeGreedy_Value,IterativeGreedy_Time
3000,0.5,12,12,9837228391
3000,0.5,13,14,9916968098
3000,0.5,14,13,9675127270
3000,0.5,15,13,9722100290
3000,0.5,16,12,9959893363
3000,0.5,17,14,9527029466
3000,0.5,18,12,9967618087
3000,0.5,19,12,9961949547
3000,0.5,20,13,9740853596
3000,0.5,21,13,9873769317
3000,0.5,22,13,9870542342
3000,0.5,23,14,9868733874
3000,0.5,24,12,9954240617
3000,0.5,25,14,9969842563
3000,0.5,26,13,9870159948
3000,0.5,27,13,9898394030
3000,0.5,28,13,9919567612
3000,0.5,29,13,9536559084
3000,0.5,30,13,9901340571
3000,0.6,1,10,9934499133
3000,0.6,2,11,9808102085
3000,0.6,3,9,9664241832
3000,0.6,4,11,9913248349
3000,0.6,5,10,9969663071
3000,0.6,6,10,9710297094
3000,0.6,7,10,9829734981
3000,0.6,8,10,9977910131
3000,0.6,9,10,9857359398
3000,0.6,10,10,9853148572
3000,0.6,11,10,9613308751
3000,0.6,12,10,9859311340
3000,0.6,13,10,9859555811
3000,0.6,14,10,9778321761
3000,0.6,15,9,9949865230
3000,0.6,16,11,9869320716
3000,0.6,17,11,9985689488
3000,0.6,18,11,9921872903
3000,0.6,19,11,9912010294
3000,0.6,20,10,9762270253
3000,0.6,21,10,9562922231
3000,0.6,22,10,9589980720
3000,0.6,23,10,9960784968
3000,0.6,24,10,9813382469
3000,0.6,25,10,9884258112
3000,0.6,26,11,9840487058
3000,0.6,27,10,9807575881
3000,0.6,28,10,9981887395
3000,0.6,29,10,9808269953
3000,0.6,30,10,9939641164
3000,0.7,1,8,9699971022
3000,0.7,2,9,9992653680
3000,0.7,3,7,9621367402
3000,0.7,4,8,9991665914
3000,0.7,5,8,9727397946
3000,0.7,6,8,9792780868
3000,0.7,7,8,9544953883
3000,0.7,8,8,9688289277
3000,0.7,9,8,9814831309
3000,0.7,10,9,9821226996
3000,0.7,11,8,9555781393
3000,0.7,12,8,9348940335
3000,0.7,13,7,9793534805
3000,0.7,14,8,9406239271
3000,0.7,15,9,9864218278
3000,0.7,16,9,9353135677
3000,0.7,17,9,9210330243
3000,0.7,18,8,9954458526
3000,0.7,19,9,9423743692
3000,0.7,20,7,9459072811
3000,0.7,21,8,9763866034
3000,0.7,22,8,9734315694
3000,0.7,23,8,9790271576
3000,0.7,24,9,9407153394
3000,0.7,25,8,9828026777
3000,0.7,26,8,9431656664
3000,0.7,27,9,9830708462
3000,0.7,28,9,9943634766
3000,0.7,29,8,9925620279
3000,0.7,30,9,9708852790
3000,0.8,1,6,9856635587
3000,0.8,2,7,9706032252
3000,0.8,3,7,9859953940
3000,0.8,4,7,9845892213
3000,0.8,5,7,9893975233
3000,0.8,6,6,9791363532
3000,0.8,7,6,9734365532
3000,0.8,8,7,9960153815
3000,0.8,9,6,9697545792
3000,0.8,10,7,9863201003
3000,0.8,11,7,9868476984
3000,0.8,12,6,9776001422
3000,0.8,13,6,9653666242
3000,0.8,14,6,9738548301
3000,0.8,15,7,9714639124
3000,0.8,16,6,9948277787
3000,0.8,17,6,9846494507
3000,0.8,18,7,9368715677
3000,0.8,19,6,9854274856
3000,0.8,20,7,9644698944
3000,0.8,21,6,9908254860
3000,0.8,22,6,9607042734
3000,0.8,23,6,9646907791
3000,0.8,24,7,9648281070
3000,0.8,25,7,9511905606
3000,0.8,26,6,9970493454
3000,0.8,27,6,9892596844
3000,0.8,28,7,9819543196
3000,0.8,29,7,9919120438
3000,0.8,30,6,9856072529
3000,0.9,1,5,9985948985
3000,0.9,2,5,9855047214
3000,0.9,3,6,9762595512
3000,0.9,4,4,9858879033
3000,0.9,5,5,9442084338
3000,0.9,6,5,9739157601
3000,0.9,7,5,9327438981
