Size,Density,Number,Greedy_Value,Greedy_Time,GreedyRan_Value,GreedyRan_Time
2000,0.1,6,58, 6300116,59, 15902921
2000,0.1,7,54, 5728849,52, 15191211
2000,0.1,8,53, 5187278,59, 15236231
2000,0.1,9,53, 5360768,55, 17937973
2000,0.1,10,52, 5098944,57, 14659749
2000,0.1,11,55, 5954648,56, 18143469
2000,0.1,12,58, 5456567,54, 14152895
2000,0.1,13,56, 5210704,56, 15640258
2000,0.1,14,55, 5285034,55, 16410266
2000,0.1,15,54, 5093140,56, 14347577
2000,0.1,16,57, 5669413,57, 14615638
2000,0.1,17,59, 5576463,58, 15389401
2000,0.1,18,56, 5405549,57, 15179761
2000,0.1,19,59, 5600202,56, 15238744
2000,0.1,20,58, 5698700,54, 14376607
2000,0.1,21,56, 5363265,57, 15764998
2000,0.1,22,55, 5249173,55, 17205111
2000,0.1,23,52, 4766201,54, 15712543
2000,0.1,24,57, 8629839,59, 17870891
2000,0.1,25,58, 5443199,57, 18664699
2000,0.1,26,54, 5353023,58, 16417902
2000,0.1,27,59, 5847434,55, 14889021
2000,0.1,28,55, 5484073,57, 15008087
2000,0.1,29,55, 5727786,58, 16175234
2000,0.1,30,56, 6148970,56, 16730748
2000,0.2,1,27, 2978228,30, 7311808
2000,0.2,2,31, 3295816,31, 7297683
2000,0.2,3,31, 3543402,31, 7322549
2000,0.2,4,34, 3613450,32, 10343139
2000,0.2,5,30, 3147796,29, 7230465
2000,0.2,6,30, 3552771,29, 7142398
2000,0.2,7,28, 3314745,30, 9002579
2000,0.2,8,28, 3061777,29, 7934087
2000,0.2,9,30, 3298240,29, 7954847
2000,0.2,10,31, 3627617,30, 7966068
2000,0.2,11,31, 3316996,30, 8279384
2000,0.2,12,30, 3304613,32, 9210980
2000,0.2,13,29, 3461138,31, 8493210
2000,0.2,14,29, 3004499,30, 9266250
2000,0.2,15,30, 5241780,28, 7658433
2000,0.2,16,29, 3889501,30, 7507643
2000,0.2,17,32, 3134425,29, 7638850
2000,0.2,18,32, 5208966,29, 7361168
2000,0.2,19,28, 3366377,33, 7823173
2000,0.2,20,29, 5327415,30, 8152864
2000,0.2,21,30, 3226785,29, 8784807
2000,0.2,22,32, 6387342,29, 8303330
2000,0.2,23,30, 3777008,30, 7877069
2000,0.2,24,31, 3414261,29, 7686126
2000,0.2,25,28, 3101586,26, 7682208
2000,0.2,26,28, 2839239,28, 10770697
2000,0.2,27,31, 3156616,31, 7443501
2000,0.2,28,31, 5344777,32, 8527390
2000,0.2,29,30, 3077227,30, 7534012
2000,0.2,30,28, 2961538,30, 7641815
2000,0.3,1,20, 2200617,20, 5059227
2000,0.3,2,21, 2512363,20, 5696256
2000,0.3,3,19, 2479822,22, 7690798
2000,0.3,4,18, 2221601,19, 5528878
2000,0.3,5,20, 2711957,19, 4952152
2000,0.3,6,18, 2104191,19, 5386677
2000,0.3,7,20, 2667416,18, 5034449
2000,0.3,8,21, 3458880,19, 6414208
2000,0.3,9,18, 2274424,17, 4596138
2000,0.3,10,20, 2506161,18, 5345779
2000,0.3,11,19, 2415630,19, 5134757
2000,0.3,12,20, 2482578,21, 5808270
2000,0.3,13,19, 2272803,21, 5348061
2000,0.3,14,21, 2316621,19, 5762427
2000,0.3,15,19, 2133810,21, 5127586
2000,0.3,16,22, 2628014,21, 5652172
2000,0.3,17,20, 2577698,19, 5545829
2000,0.3,18,19, 2351588,22, 5984576
2000,0.3,19,19, 2413726,21, 5875697
2000,0.3,20,20, 2465074,20, 6391299
2000,0.3,21,19, 2298189,19, 5028391
2000,0.3,22,19, 2083398,19, 4914513
2000,0.3,23,21, 2260181,20, 5370929
2000,0.3,24,21, 2328545,21, 5446652
2000,0.3,25,21, 2393552,21, 5065627
2000,0.3,26,20, 2236007,21, 8513722
2000,0.3,27,18, 2068792,17, 5013679
2000,0.3,28,20, 2418724,21, 5728200
2000,0.3,29,21, 2638770,20, 4831403
2000,0.3,30,20, 2169605,21, 7893581
2000,0.4,1,15, 1825753,14, 3786637
2000,0.4,2,14, 1740973,16, 4019145
2000,0.4,3,14, 1923310,16, 4203744
2000,0.4,4,14, 1662713,15, 4013725
2000,0.4,5,14, 1686789,14, 3733210
2000,0.4,6,13, 1713977,14, 3979239
2000,0.4,7,15, 1873839,15, 4069296
2000,0.4,8,13, 1826808,13, 6582763
2000,0.4,9,16, 2331182,14, 3948210
2000,0.4,10,17, 2179628,14, 4195637
2000,0.4,11,14, 2118248,14, 4019052
2000,0.4,12,17, 2127778,17, 4538628
2000,0.4,13,14, 1761022,16, 4212590
2000,0.4,14,15, 1974528,13, 3890816
2000,0.4,15,14, 1828261,13, 3995263
2000,0.4,16,15, 3446458,14, 4414405
2000,0.4,17,14, 1847564,15, 4198178
2000,0.4,18,15, 1990233,14, 6221157
2000,0.4,19,15, 2259343,13, 3783044
2000,0.4,20,14, 1971346,13, 3731916
2000,0.4,21,15, 1854948,15, 3969239
2000,0.4,22,15, 2649264,15, 3904291
2000,0.4,23,15, 1851124,15, 3839820
2000,0.4,24,15, 1844841,15, 3862981
2000,0.4,25,15, 1873761,15, 4172716
2000,0.4,26,14, 1905438,12, 3707575
2000,0.4,27,13, 1639421,14, 3744190
2000,0.4,28,15, 1914791,14, 6245682
2000,0.4,29,15, 1920994,13, 3786414
2000,0.4,30,15, 1870573,15, 3930575
2000,0.5,1,13, 1764501,12, 3259136
2000,0.5,2,11, 1507056,14, 3543237
2000,0.5,3,9, 1248814,11, 3177169
2000,0.5,4,11, 1653816,11, 3207058
2000,0.5,5,11, 1584572,12, 3439023
2000,0.5,6,11, 1519961,11, 3159115
2000,0.5,7,10, 1362129,10, 2967562
2000,0.5,8,12, 1770865,11, 3450593
2000,0.5,9,11, 1669982,10, 3031409
2000,0.5,10,12, 1727258,12, 4160823
2000,0.5,11,12, 2750128,11, 3241974
2000,0.5,12,11, 1383811,11, 3057671
2000,0.5,13,10, 1275390,11, 3456788
2000,0.5,14,11, 1469502,12, 3379601
2000,0.5,15,12, 1547799,10, 2769923
2000,0.5,16,12, 1645265,12, 3301567
2000,0.5,17,11, 2267907,11, 3159903
2000,0.5,18,11, 1512293,11, 3290775
2000,0.5,19,12, 1675378,10, 3018513
2000,0.5,20,12, 1963494,12, 3253025
2000,0.5,21,11, 1532687,11, 3230918
2000,0.5,22,10, 1428455,11, 3239541
2000,0.5,23,10, 1469592,12, 3283479
2000,0.5,24,10, 2355116,11, 3063361
2000,0.5,25,11, 1519854,12, 3233666
2000,0.5,26,11, 1488010,12, 3403991
2000,0.5,27,11, 1530360,11, 3157131
2000,0.5,28,11, 1612544,12, 3560910
2000,0.5,29,12, 1707776,12, 3495322
2000,0.5,30,11, 1567449,11, 4401082
2000,0.6,1,9, 1909601,8, 3188149
2000,0.6,2,9, 1363758,9, 2700732
2000,0.6,3,9, 1758200,9, 2841024
2000,0.6,4,9, 1657887,8, 2689131
2000,0.6,5,8, 1303910,8, 2573768
2000,0.6,6,9, 1284118,9, 2636324
2000,0.6,7,9, 1338708,9, 2586901
2000,0.6,8,9, 1304479,10, 2761943
2000,0.6,9,9, 1353712,9, 2618732
2000,0.6,10,9, 1377734,9, 2760486
2000,0.6,11,10, 1848827,9, 2820347
2000,0.6,12,8, 1511490,9, 2772500
2000,0.6,13,9, 1419598,9, 2758402
2000,0.6,14,9, 1412621,9, 4805656
2000,0.6,15,8, 1260385,8, 2718208
2000,0.6,16,9, 1456876,8, 2713691
2000,0.6,17,9, 1385503,9, 2706432
2000,0.6,18,9, 1519118,9, 2855336
2000,0.6,19,9, 1367376,10, 2793763
2000,0.6,20,9, 1423355,9, 2883297
2000,0.6,21,8, 1262073,9, 3334386
2000,0.6,22,9, 1774561,9, 2768059
2000,0.6,23,9, 1395881,9, 2610749
2000,0.6,24,8, 1336406,8, 2734961
2000,0.6,25,9, 1376117,8, 2671580
2000,0.6,26,9, 1461507,9, 2684915
2000,0.6,27,9, 2355795,10, 2701526
2000,0.6,28,9, 1407642,9, 3594193
2000,0.6,29,8, 1271399,10, 2826889
2000,0.6,30,9, 1680309,9, 2900403
2000,0.7,1,8, 1290237,6, 2249920
2000,0.7,2,7, 1100974,7, 2253802
2000,0.7,3,7, 1078118,6, 3614323
2000,0.7,4,8, 1351630,6, 3689622
2000,0.7,5,6, 1025201,6, 2104875
2000,0.7,6,6, 967551,7, 2319774
2000,0.7,7,8, 1244622,8, 2348547
2000,0.7,8,7, 1111166,6, 2284079
2000,0.7,9,7, 1130493,9, 2562398
2000,0.7,10,8, 1243914,7, 4289981
2000,0.7,11,9, 1433887,7, 2364012
2000,0.7,12,7, 1155248,6, 2092864
2000,0.7,13,7, 2262420,7, 2210573
2000,0.7,14,6, 1924154,7, 2270490
2000,0.7,15,6, 1050371,7, 2311226
2000,0.7,16,8, 1268914,8, 2867514
2000,0.7,17,9, 2460541,7, 2604421
2000,0.7,18,8, 1393931,8, 2432115
2000,0.7,19,7, 1189793,7, 2377468
2000,0.7,20,8, 1262021,8, 2443537
2000,0.7,21,8, 1811386,7, 2331789
2000,0.7,22,8, 1589740,8, 4384952
2000,0.7,23,7, 1094855,7, 2653625
2000,0.7,24,8, 1486204,7, 2457855
2000,0.7,25,7, 1119253,8, 2422900
2000,0.7,26,7, 1158274,7, 2335571
2000,0.7,27,8, 1280513,7, 2274401
2000,0.7,28,7, 1119188,6, 2244002
2000,0.7,29,7, 1358211,6, 2323851
2000,0.7,30,7, 1137596,8, 2555055
2000,0.8,1,6, 985918,5, 2328973
2000,0.8,2,6, 1001835,5, 1846664
2000,0.8,3,6, 1078765,5, 1894350
2000,0.8,4,7, 1190024,5, 1983065
2000,0.8,5,6, 1266049,5, 1929836
2000,0.8,6,6, 1057785,6, 2082459
2000,0.8,7,5, 908310,6, 2027744
2000,0.8,8,6, 1047509,6, 2110891
2000,0.8,9,6, 1018741,6, 1965729
2000,0.8,10,5, 859081,5, 2005261
2000,0.8,11,6, 1047969,6, 2107714
2000,0.8,12,7, 1189554,5, 1968611
2000,0.8,13,6, 973991,6, 2027344
2000,0.8,14,6, 1037685,5, 1879488
2000,0.8,15,6, 986828,5, 1835987
2000,0.8,16,6, 1046433,6, 2496707
2000,0.8,17,5, 890002,5, 1887322
2000,0.8,18,5, 908801,5, 2008462
2000,0.8,19,6, 1005261,6, 2043901
2000,0.8,20,5, 909183,5, 1881448
2000,0.8,21,6, 1040934,5, 1801019
2000,0.8,22,5, 939266,6, 1999844
2000,0.8,23,5, 940172,5, 1898158
2000,0.8,24,5, 931820,6, 2061813
2000,0.8,25,6, 1035647,6, 2053974
2000,0.8,26,6, 1049517,6, 2032049
2000,0.8,27,5, 858782,5, 1934147
2000,0.8,28,5, 896917,6, 1989160
2000,0.8,29,6, 1117092,5, 1940011
2000,0.8,30,6, 990731,6, 1952036
2000,0.9,1,4, 749569,4, 1671080
2000,0.9,2,5, 970081,5, 1855589
2000,0.9,3,4, 731414,4, 1624470
2000,0.9,4,4, 830591,4, 1723818
2000,0.9,5,5, 997864,5, 1854574
2000,0.9,6,4, 802250,4, 1585018
2000,0.9,7,4, 798396,4, 1561063
2000,0.9,8,5, 1061117,5, 1729607
2000,0.9,9,4, 775881,4, 1650171
2000,0.9,10,4, 727001,4, 1687946
2000,0.9,11,4, 737862,4, 1694838
2000,0.9,12,3, 575476,3, 1562033
2000,0.9,13,3, 608983,4, 1701375
2000,0.9,14,4, 737458,4, 1757745
2000,0.9,15,4, 796454,4, 1599576
2000,0.9,16,5, 877435,4, 1607761
2000,0.9,17,4, 721893,4, 1602014
2000,0.9,18,4, 734097,5, 1790193
2000,0.9,19,4, 712384,5, 1833696
2000,0.9,20,4, 730674,4, 1597722
2000,0.9,21,5, 936544,5, 1942212
2000,0.9,22,5, 924185,4, 1554057
2000,0.9,23,5, 937757,4, 1602831
2000,0.9,24,5, 935089,3, 2715074
2000,0.9,25,5, 894995,3, 1435583
2000,0.9,26,4, 763349,4, 1705816
2000,0.9,27,4, 792898,4, 1589732
2000,0.9,28,4, 763112,5, 1730668
2000,0.9,29,5, 1280551,5, 1800395
2000,0.9,30,5, 1658103,4, 2335566
3000,0.1,1,61, 8857417,58, 21494241
3000,0.1,2,59, 8187335,61, 26279255
3000,0.1,3,58, 8092137,56, 24804266
3000,0.1,4,63, 12626958,62, 27150029
3000,0.1,5,57, 8492317,61, 25674995
3000,0.1,6,62, 9786910,61, 25677479
3000,0.1,7,60, 8363833,57, 21979967
3000,0.1,8,59, 8704392,62, 24032127
3000,0.1,9,58, 8032592,59, 24927305
3000,0.1,10,61, 8463453,57, 23222803
3000,0.1,11,58, 8089046,61, 22418577
3000,0.1,12,56, 8080218,58, 21320786
3000,0.1,13,56, 8904013,56, 20758928
3000,0.1,14,59, 8680239,57, 21805235
3000,0.1,15,58, 8206175,58, 25575946
3000,0.1,16,62, 11024896,60, 21622198
3000,0.1,17,56, 7864806,58, 22386860
3000,0.1,18,59, 8144219,55, 25561542
3000,0.1,19,59, 8291128,60, 22808631
3000,0.1,20,58, 8082187,59, 22151767
3000,0.1,21,60, 8476442,59, 23295413
3000,0.1,22,62, 8727932,62, 26439940
3000,0.1,23,62, 9623983,61, 28853348
3000,0.1,24,58, 8144470,58, 21946336
3000,0.1,25,60, 8271380,59, 22395422
3000,0.1,26,62, 8590465,62, 25106358
3000,0.1,27,63, 8655300,59, 23368090
3000,0.1,28,59, 8304694,62, 24537093
3000,0.1,29,59, 8412101,61, 26143632
3000,0.1,30,61, 8665685,58, 25942900
3000,0.2,1,33, 5182578,32, 11247496
3000,0.2,2,30, 6103372,31, 11124794
3000,0.2,3,29, 4445962,32, 11377042
3000,0.2,4,31, 4895082,31, 11182544
3000,0.2,5,31, 4827139,31, 13639713
3000,0.2,6,32, 4928279,31, 11488906
3000,0.2,7,30, 4593361,29, 14430554
3000,0.2,8,34, 5253683,31, 12421253
3000,0.2,9,31, 6793823,30, 11648726
3000,0.2,10,34, 5852445,32, 12095755
3000,0.2,11,30, 4826413,34, 11703729
3000,0.2,12,29, 6764005,29, 11527869
3000,0.2,13,32, 4899283,31, 15192026
3000,0.2,14,32, 5052869,30, 11699859
3000,0.2,15,30, 4528141,33, 11246084
3000,0.2,16,30, 4803266,31, 11508120
3000,0.2,17,32, 5056190,31, 11556285
3000,0.2,18,31, 6322043,31, 11568019
3000,0.2,19,30, 4783875,28, 10839516
3000,0.2,20,29, 4521634,30, 14861965
3000,0.2,21,30, 4567482,31, 11466231
3000,0.2,22,32, 4867321,31, 15731671
3000,0.2,23,30, 4707008,33, 11639628
3000,0.2,24,31, 5010140,31, 13056108
3000,0.2,25,33, 4964900,33, 11986538
3000,0.2,26,31, 4886865,31, 11910837
3000,0.2,27,29, 4574176,32, 14712620
3000,0.2,28,32, 4949906,31, 15302728
3000,0.2,29,31, 4863976,32, 11824202
3000,0.2,30,31, 4881171,31, 12074037
3000,0.3,1,20, 3568656,21, 8261704
3000,0.3,2,20, 3626748,19, 7708580
3000,0.3,3,20, 3510685,21, 7995945
3000,0.3,4,23, 4385382,20, 8105425
3000,0.3,5,19, 3414351,21, 8287804
3000,0.3,6,21, 3651891,20, 11076981
3000,0.3,7,24, 6447003,22, 8976644
3000,0.3,8,20, 3518467,21, 8285938
3000,0.3,9,22, 3822642,21, 8537385
3000,0.3,10,22, 3666806,21, 9983366
3000,0.3,11,21, 3788668,21, 7736621
3000,0.3,12,19, 3221831,21, 8114066
3000,0.3,13,22, 3993476,21, 8256667
